wanikani	word	reading	sense 1	sense 2	sense 3	url
12	心配事	しんぱいごと	worries, cares, troubles			http://jisho.org/word/%E5%BF%83%E9%85%8D%E4%BA%8B
12	第一位	だいいちい	first place			http://jisho.org/word/%E7%AC%AC%E4%B8%80%E4%BD%8D
12	大根	だいこん	daikon (variety of large white Oriental radish, Raphanus sativus var. longipinnatus)	ham actor		http://jisho.org/word/%E5%A4%A7%E6%A0%B9
12	大学院生	だいがくいんせい	graduate student			http://jisho.org/word/%E5%A4%A7%E5%AD%A6%E9%99%A2%E7%94%9F
12	短刀	たんとう	short sword, knife, dagger, dirk, tantō	Tantō		http://jisho.org/word/%E7%9F%AD%E5%88%80
12	本流	ほんりゅう	main course (of a river)	mainstream, main current (e.g. of thought)	Honryuu	http://jisho.org/word/%E6%9C%AC%E6%B5%81
12	悪女	あくじょ	wicked woman	ugly woman		http://jisho.org/word/%E6%82%AA%E5%A5%B3
12	音読み	おんよみ	on reading, on'yomi, Chinese-derived reading of a kanji			http://jisho.org/word/%E9%9F%B3%E8%AA%AD%E3%81%BF
12	広島	ひろしま	Hiroshima (city, prefecture)			http://jisho.org/word/%E5%BA%83%E5%B3%B6
12	東京都	とうきょうと	Tokyo Metropolis (prefecture), Tokyo metropolitan area	Toukyouto	Tokyo	http://jisho.org/word/%E6%9D%B1%E4%BA%AC%E9%83%BD
12	最深	さいしん	deepest			http://jisho.org/word/%E6%9C%80%E6%B7%B1
13	画像	がぞう	image, picture, portrait	Image		http://jisho.org/word/%E7%94%BB%E5%83%8F
13	女神	めがみ	goddess, female deity	Goddess		http://jisho.org/word/%E5%A5%B3%E7%A5%9E
13	銀色	ぎんいろ	silver (color, colour)	Silver (color)		http://jisho.org/word/%E9%8A%80%E8%89%B2
13	駅前	えきまえ	in front of a station	Ekimae		http://jisho.org/word/%E9%A7%85%E5%89%8D
13	当然	とうぜん	natural, right, proper, just, reasonable, appropriate, deserved	naturally, as a matter of course, rightly, deservedly, justly, of course		http://jisho.org/word/%E5%BD%93%E7%84%B6
13	仲良く	なかよく	on good terms (with), on friendly terms (with), (getting along) well, in harmony, happily, peacefully			http://jisho.org/word/%E4%BB%B2%E8%89%AF%E3%81%8F
13	皆様	みなさま	everyone			http://jisho.org/word/%E7%9A%86%E6%A7%98
13	回想	かいそう	recollection, retrospection, reflection, reminiscence			http://jisho.org/word/%E5%9B%9E%E6%83%B3
13	養子	ようし	adopted child (usu. male), son-in-law			http://jisho.org/word/%E9%A4%8A%E5%AD%90
13	想定	そうてい	hypothesis, supposition, assumption			http://jisho.org/word/%E6%83%B3%E5%AE%9A
13	放題	ほうだい	(doing) as one pleases, to one's heart's content, letting (something) go unchecked, leaving uncontrolled, leaving (something) to take its own course			http://jisho.org/word/%E6%94%BE%E9%A1%8C
13	一億	いちおく	100,000,000, one hundred million			http://jisho.org/word/%E4%B8%80%E5%84%84
13	指先	ゆびさき	fingertip, finger	toe tip, toe		http://jisho.org/word/%E6%8C%87%E5%85%88
13	力士	りきし	sumo wrestler, rikishi	strong man	Deva king	http://jisho.org/word/%E5%8A%9B%E5%A3%AB
13	駅員	えきいん	(train) station attendant, station employee, station staff			http://jisho.org/word/%E9%A7%85%E5%93%A1
13	飲み会	のみかい	drinking party, get-together			http://jisho.org/word/%E9%A3%B2%E3%81%BF%E4%BC%9A
13	五感	ごかん	the five senses			http://jisho.org/word/%E4%BA%94%E6%84%9F
13	緑色	みどりいろ	green, green color			http://jisho.org/word/%E7%B7%91%E8%89%B2
13	詩歌	しいか	Japanese and Chinese poetry	poetry, poems		http://jisho.org/word/%E8%A9%A9%E6%AD%8C
13	水銀	すいぎん	mercury (Hg)	Mercury (element)		http://jisho.org/word/%E6%B0%B4%E9%8A%80
